OID_,Field1,ID2,lat,long,el,RASTERVALU
1,330,72496632,40.875972911900000,-124.077265370000006,.,
2,342,72963654,40.880016341599998,-124.072517383000005,.,
3,907,88203191,40.878313212199998,-124.089920996399997,.,
4,981,91449372,40.876007837800003,-124.077852402600001,.,
5,1071,94526672,40.874916815699997,-124.076553816300006,.,
6,1201,97817820,41.538733068299997,-123.656087713700003,.,
7,1155,96483487,43.177221786200001,-124.189933240399995,.,8.1236744
8,1157,96538903,43.178349884900001,-123.807567581499995,.,482.7077332
9,1154,96476929,43.370249240500002,-124.213650673600000,.,11.1000071
10,1151,96412200,43.648209437900000,-123.852224350000000,.,26.3953247
11,888,86796350,43.563833864099998,-123.390806950599995,.,493.0248718
12,1159,96541341,43.731619999999999,-122.442750000000004,.,392.3505554
13,1160,96542433,43.739440000000002,-122.458430000000007,.,355.9663391
14,1156,96517215,43.958706524199997,-124.104625582699995,.,41.8326073
15,1262,100468174,44.036584384699999,-123.058521403000000,.,198.9093170
16,411,74342998,44.357005000000001,-122.228813333299996,.,993.4248657
17,1158,96540895,44.652846948600001,-124.053106717800006,.,43.1401520
18,1161,96607092,44.632021453800000,-124.039653427900006,.,17.7927914
19,384,74116396,44.613220751900002,-121.947501811099997,.,752.3179321
20,32,57676245,44.850355555599997,-121.845697222200002,.,1239.1168213
21,1170,96703914,45.184822291600000,-123.909992426599999,.,14.7340736
22,714,80279776,45.210197222200001,-122.273722222200007,.,444.1701050
23,715,80280181,45.210625000000000,-122.271105555600002,.,452.3146057
24,730,80529761,45.172789530800003,-121.697967276000000,.,1109.9432373
25,588,77141304,45.215105555599997,-121.520536111100000,.,1198.1184082
26,1173,96739254,45.318217909600001,-123.922551870299998,.,20.7060890
27,30,55095755,45.388011666700002,-122.836861666700003,.,37.8640175
28,940,89710558,45.350394444400003,-122.844736111100005,.,62.4428787
29,1293,101560511,45.304103333299999,-122.970375000000004,.,57.9514732
30,1294,101560551,45.302855000000001,-122.967720000000000,.,55.9240990
31,312,71979089,45.336908000000001,-122.693330000000003,.,234.5696106
32,564,76700302,45.381097222199998,-122.628008333300002,.,46.6053505
33,568,76733660,45.381633333300002,-122.627750000000006,.,39.6376991
34,664,78844909,45.394960679800000,-122.773887096899998,.,37.9803810
35,1318,102363862,45.303900231500002,-122.803694639200003,.,60.2042580
36,314,72065430,45.371138888899999,-122.615161111099994,.,19.7565727
37,361,73458585,45.337791666699999,-122.591841666700006,.,140.0068817
38,375,73816352,45.365694444399999,-122.594025000000002,.,10.5540781
39,376,73817066,45.351463888900000,-122.596511111100000,.,104.9242020
40,377,73817579,45.351461111100001,-122.596436111100004,.,104.8774719
41,398,74274529,45.367708333300001,-122.576547222200006,.,46.8349876
42,423,74457766,45.335416666699999,-122.573586111099999,.,102.3094711
43,424,74457795,45.335416666699999,-122.573586111099999,.,102.3094711
44,425,74457826,45.335416666699999,-122.573586111099999,.,102.3094711
45,426,74457894,45.335416666699999,-122.573586111099999,.,102.3094711
46,427,74457907,45.335394444400002,-122.573777777800004,.,102.0111618
47,428,74457923,45.335394444400002,-122.573777777800004,.,102.0111618
48,429,74457978,45.335394444400002,-122.573777777800004,.,102.0111618
49,484,74984092,45.327363888900003,-122.569716666700003,.,121.4762726
50,489,75288018,45.367869444400000,-122.577799999999996,.,43.8278122
51,490,75288248,45.370975000000001,-122.578036111100005,.,44.3759804
52,491,75288741,45.370975000000001,-122.578036111100005,.,44.3759804
53,492,75289130,45.367258333300001,-122.582391666700005,.,41.4497299
54,496,75349356,45.365802777799999,-122.581063888900005,.,40.9967232
55,571,76771331,45.382480555599997,-122.625299999999996,.,14.5406084
56,575,76838542,45.381386111099999,-122.626075000000000,.,32.5626564
57,576,76844604,45.380397222200003,-122.626383333299998,.,34.3018036
58,577,76846077,45.380222222199997,-122.626727777799999,.,38.2196693
59,498,75366277,45.384447222200002,-122.419597222199997,.,49.3520470
60,500,75402641,45.383958333300001,-122.419755555600005,.,56.9737511
61,532,76047406,45.296525000000003,-122.361083333300002,.,96.2003708
62,533,76049215,45.296525000000003,-122.361083333300002,.,96.2003708
63,534,76051057,45.295683333299998,-122.364366666699993,.,92.3528290
64,535,76051796,45.295133333300001,-122.364036111100006,.,94.8484726
65,536,76052738,45.295417637400000,-122.362209968299993,.,95.4092636
66,537,76053291,45.297274999999999,-122.348872222200001,.,120.3678589
67,538,76054693,45.299227777799999,-122.358616666700001,.,96.4085922
68,544,76299392,45.294998057800001,-122.364976666900006,.,130.1523590
69,547,76342430,45.299424999999999,-122.354327777799995,.,119.5270920
70,549,76386517,45.299338888900003,-122.352041666700003,.,122.1299744
71,550,76389103,45.297841666700002,-122.349680555600003,.,123.0063400
72,551,76439466,45.298036111099997,-122.372847222199994,.,173.7614594
73,552,76443010,45.307502777800003,-122.365586111100001,.,87.2791595
74,553,76444995,45.307697222199998,-122.365125000000006,.,82.9511337
75,554,76447094,45.306533333300003,-122.366383333300007,.,88.6570358
76,922,89240554,45.323261666699999,-122.288636666700000,.,160.2841187
77,716,80289561,45.343150000000001,-121.941691666699995,.,435.4950867
78,729,80528576,45.343019444399999,-121.941411111099995,.,435.7171936
79,844,84620183,45.351016000000001,-121.968277999999998,.,396.6095581
80,894,86923184,45.284844444400001,-121.878625000000000,.,1097.9976807
81,902,87779139,45.293005000000001,-121.880354999999994,.,771.0861206
82,325,72340913,45.296822045399999,-121.784687644800002,.,1232.3795166
83,326,72340914,45.296822045399999,-121.784687644800002,.,1232.3795166
84,578,76849887,45.303024999999998,-121.862488888900003,.,658.2274780
85,579,76851330,45.303024999999998,-121.862488888900003,.,658.2274780
86,586,77029607,45.306719444400002,-121.789027777800001,.,1081.8168945
87,1216,98397971,45.386179664700002,-121.832591311100003,.,738.8419189
88,767,82037896,45.278874321200000,-121.615206040399997,.,1068.6801758
89,1171,96714334,45.426979871900002,-123.805674612499999,.,10.0622225
90,604,78385648,45.428496678400002,-123.231558250399999,.,197.9253387
91,605,78386574,45.428534606500001,-123.231373010300004,.,195.9340363
92,608,78405805,45.428278748899999,-123.231544420199995,.,199.4180756
93,609,78405834,45.428262739499999,-123.232085053000006,.,203.4927521
94,1050,93961544,45.520227168900000,-123.110398137800004,.,64.5678635
95,1060,94160823,45.520068512599998,-123.110414543299996,.,62.7975426
96,1238,99638860,45.438524999999998,-123.067458333299996,.,262.0001831
97,1311,102127009,45.438594999999999,-123.066711166700003,.,262.4044189
98,1312,102127507,45.438488333300000,-123.067008333299995,.,260.5973511
99,1313,102127943,45.438479999999998,-123.067313833300005,.,261.2446289
100,1319,102364082,45.438561666699997,-123.067872166699999,.,263.7489624
101,1320,102364262,45.438529698399996,-123.068342008599998,.,265.2010193
102,1321,102386262,45.531148000000002,-123.087053999999995,.,53.8449783
103,1322,102386538,45.539158000000000,-123.086866999999998,.,56.1128616
104,1323,102386679,45.547814000000002,-123.099742000000006,.,57.8997879
105,754,81481815,45.562866666700003,-122.896188888899999,.,74.3065872
106,755,81482516,45.498372222199997,-122.839413888899998,.,59.1619682
107,756,81487639,45.499769444400002,-122.844897222200004,.,51.1757240
108,768,82096280,45.500058333299997,-122.845200000000006,.,53.6341972
109,769,82096361,45.502941666700004,-122.842474999999993,.,53.5468102
110,779,82316681,45.499588837899999,-122.844368219499998,.,50.9565659
111,842,84365621,45.537363333300000,-123.002494450000000,.,49.5728149
112,875,86002017,45.446579712499997,-122.871157117300001,.,171.8450775
113,21,50208705,45.472320000000003,-122.653724999999994,.,4.0256844
114,26,52996969,45.527636666699998,-122.731369999999998,.,126.8897781
115,171,68982848,45.478246666700002,-122.672203333300004,.,13.4120121
116,220,70064801,45.478079999999999,-122.653663333300003,.,15.2631569
117,226,70133946,45.482436279100000,-122.715794853899993,.,118.1621170
118,254,70380081,45.490310277799999,-122.748134722200007,.,76.2541122
119,303,71720072,45.457253000000001,-122.674974000000006,.,136.5176392
120,313,72022600,45.447609000000000,-122.689683000000002,.,73.2687454
121,323,72231921,45.460527999999996,-122.738275000000002,.,95.5787277
122,340,72860248,45.595605555600002,-122.786769444399994,.,62.8793259
123,341,72905217,45.507138828999999,-122.627643251199999,.,45.8278770
124,352,73140023,45.540166930300003,-122.723162630700003,.,69.7733841
125,362,73648037,45.530531575700003,-122.723938946700002,.,175.0463409
126,363,73648884,45.530548003000000,-122.723947039999999,.,175.8036041
127,364,73649028,45.531283394500001,-122.726950347900001,.,220.0415039
128,365,73651917,45.532310687699997,-122.728935671900004,.,240.3807373
129,366,73652878,45.536597092500003,-122.719349636000004,.,95.6602707
130,385,74171790,45.476172021600000,-122.684260206399998,.,137.2305450
131,400,74297110,45.517013637399998,-122.713572803100007,.,199.6426697
132,459,74735203,45.497146148200002,-122.671727486300000,.,12.6361914
133,471,74803282,45.577878333299999,-122.778419999999997,.,250.3608551
134,472,74803766,45.575791666699999,-122.770661666699993,.,250.2663574
135,508,75565908,45.471409177300004,-122.721484024000006,.,108.0327454
136,510,75567911,45.471255045299998,-122.722016156500004,.,108.1780167
137,511,75568638,45.471525178599997,-122.722528491199995,.,105.9810028
138,512,75569027,45.471581053300000,-122.720990732999994,.,107.4430847
139,513,75569298,45.471443797600003,-122.722758686000006,.,106.3453598
140,514,75569485,45.471543115599999,-122.721477868099996,.,106.6052933
141,515,75569831,45.471500242200001,-122.721691774299998,.,105.4348602
142,517,75570154,45.471194428399997,-122.722090082400001,.,109.1018372
143,518,75570844,45.471801739199996,-122.721007391900002,.,103.9757690
144,520,75571653,45.470969123099998,-122.721908114300007,.,111.3579178
145,521,75571770,45.471350206099999,-122.722850656299997,.,106.6813583
146,522,75572036,45.471231099299999,-122.721967622799994,.,108.3778687
147,523,75584154,45.471313476600002,-122.721915738800007,.,107.1569443
148,524,75586671,45.471246860000001,-122.721884480000000,.,108.1214828
149,525,75599170,45.590927777799998,-122.754555555600007,.,43.4297409
150,526,75674889,45.517060999999998,-122.704893999999996,.,115.3800049
151,527,75868865,45.520961589999999,-122.702003320000003,.,106.9163055
152,528,75872644,45.521019268800003,-122.701777042900005,.,107.3664093
153,529,75874917,45.521103580000002,-122.701482490000004,.,107.3798981
154,555,76605285,45.455583333299998,-122.673222222199996,.,133.8894043
155,556,76624870,45.455913888900000,-122.670461111099996,.,112.2301254
156,557,76629311,45.456655555600001,-122.670313888899997,.,107.0319595
157,558,76631592,45.456652777800002,-122.671016666699998,.,113.0374680
158,559,76640463,45.456694444400000,-122.672072222200001,.,117.0156326
159,560,76666696,45.455461111100000,-122.674563888899996,.,142.3273468
160,561,76667766,45.455480555599998,-122.674547222200005,.,142.3002319
161,563,76696107,45.455536111100002,-122.675261111099999,.,144.6556854
162,565,76709504,45.522888014099998,-122.702950844699998,.,116.1680832
163,566,76722420,45.523525640000003,-122.703674340000006,.,116.5697708
164,567,76729758,45.523367630000003,-122.703903589999996,.,119.4592133
165,570,76754963,45.523322550000003,-122.701489820000006,.,80.7984238
166,595,77931046,45.594787083000000,-122.714808916899997,.,11.2746506
167,686,79795380,45.514830000000003,-122.718413333300006,.,246.8133850
168,687,79798662,45.514695180799997,-122.718335230600005,.,251.5436707
169,688,79802035,45.514804684700003,-122.718114824200001,.,245.6273956
170,689,79805855,45.514343331399999,-122.715665100899997,.,262.0417786
171,690,79809971,45.513581355200003,-122.719411956200005,.,247.3678284
172,691,79812540,45.513665078700001,-122.719534048300005,.,249.3630829
173,734,80653580,45.518349255499999,-122.715300573199997,.,223.1699219
174,735,80654989,45.517479213900003,-122.715093959200004,.,220.1203918
175,737,80755067,45.514445213199998,-122.718629698599997,.,258.2141113
176,764,81910497,45.510223388699998,-122.716386357000005,.,210.8177490
177,780,82319512,45.514002540000000,-122.719621079999996,.,254.8860931
178,781,82327258,45.512794880000001,-122.715977080000002,.,232.7539978
179,782,82335470,45.513185900000003,-122.714087980000002,.,253.2023010
180,783,82336309,45.513087120000002,-122.714325040000006,.,253.4369812
181,784,82338709,45.512928469099997,-122.710756827300003,.,227.4546204
182,785,82345498,45.511869750999999,-122.714991616199995,.,223.4137115
183,786,82350037,45.512407953000000,-122.715653115999999,.,232.3660889
184,787,82371091,45.511551448200002,-122.718022512399997,.,225.6955109
185,788,82371404,45.511552915000003,-122.718263156800006,.,226.9600067
186,793,82445420,45.517028333299997,-122.713911666700000,.,201.9887085
187,796,82448925,45.517271337499999,-122.713011708500005,.,211.7464600
188,797,82448987,45.520060583099998,-122.707757640400004,.,171.4998474
189,798,82449489,45.516813333300000,-122.713278333299996,.,211.8383789
190,800,82492592,45.516599589899997,-122.713982787000006,.,207.6186066
191,801,82494077,45.516204999999999,-122.714349999999996,.,219.3126831
192,802,82693780,45.516449999999999,-122.714861666700003,.,226.6239929
193,803,82696271,45.516498318099998,-122.714899742800000,.,224.8497162
194,805,82752477,45.517922658499998,-122.713388996299997,.,190.8651276
195,809,83096820,45.525452962199999,-122.715751938500006,.,283.3818970
196,816,83350322,45.508063888899997,-122.715716666700004,.,190.4502563
197,821,83472951,45.511097222200000,-122.715344444400003,.,200.5082092
198,822,83473193,45.518273738300003,-122.717564776499998,.,198.2868347
199,823,83473813,45.508175000000001,-122.713222222200002,.,186.7846680
200,824,83562291,45.511542623899999,-122.711682890700004,.,211.8963776
201,825,83563381,45.511344553900003,-122.712194988400000,.,207.5246277
202,826,83566783,45.511028388400000,-122.719043209999995,.,233.0909424
203,829,83809392,45.517305999999998,-122.718997999999999,.,223.5941315
204,830,83810196,45.517305999999998,-122.718997999999999,.,223.5941315
205,840,84320891,45.511384396899999,-122.719581294899996,.,245.8657074
206,841,84321788,45.511244293300003,-122.719641057900006,.,244.8912811
207,870,85951101,45.516626879999997,-122.714502190000005,.,216.4506226
208,874,85993500,45.516719989999999,-122.718005099999999,.,219.9991760
209,882,86581975,45.515915578900000,-122.718535136499995,.,228.9680023
210,883,86585445,45.515921964800000,-122.719009137699999,.,225.9874420
211,884,86730250,45.513346016000000,-122.719582920700006,.,245.7979736
212,885,86733691,45.513371913699999,-122.719589150299996,.,245.6770020
213,886,86735676,45.513538524300003,-122.719413352100005,.,247.2582703
214,887,86737269,45.513662237699997,-122.719392595700000,.,247.8206940
215,910,88589058,45.516773972199999,-122.717965333300000,.,218.2019043
216,911,88589921,45.516921777800000,-122.717889499999998,.,213.0774384
217,916,88864273,45.587300467299997,-122.761043301000001,.,9.4266682
218,928,89398239,45.516907416099997,-122.717841044099998,.,213.4742126
219,942,89737458,45.519549763000001,-122.718815018300006,.,210.4012146
220,944,89893852,45.517858935900001,-122.717896692200000,.,201.8422699
221,952,90089172,45.517658061900001,-122.717248938300003,.,217.8430023
222,968,90817505,45.474426666699998,-122.670581666700002,.,6.7540174
223,972,91060842,45.517856799100002,-122.717844201500000,.,200.4858551
224,977,91422286,45.513515907200002,-122.719433665400004,.,247.1381378
225,978,91426275,45.513728701399998,-122.719767512900006,.,250.4864349
226,979,91427678,45.513750072999997,-122.719733623699994,.,250.4635925
227,982,91477503,45.517432107600001,-122.717631580399996,.,209.0059357
228,1001,92132264,45.502496386899999,-122.635161548799999,.,42.6410561
229,1033,93224407,45.497394999999997,-122.639716666699996,.,27.0008240
230,1067,94496093,45.508642005799999,-122.714766562099996,.,194.3984833
231,1092,95317914,45.515680000000003,-122.715625000000003,.,245.7087708
232,1094,95319296,45.517305999999998,-122.718997999999999,.,223.5941315
233,1095,95320160,45.517305999999998,-122.718997999999999,.,223.5941315
234,1105,95556782,45.514249126999999,-122.715669207600001,.,261.2962036
235,1106,95560049,45.513645038999996,-122.719298000300000,.,247.6951294
236,1107,95560676,45.513523357200000,-122.719418764200000,.,247.2186279
237,1108,95561389,45.513441194300000,-122.719444110200001,.,246.9088287
238,1109,95562252,45.513440400699999,-122.719479596699998,.,246.6243744
239,1110,95562725,45.513373974799997,-122.719567345399994,.,245.8425293
240,1111,95563529,45.513312259400003,-122.719384498699995,.,248.3630981
241,1112,95564552,45.513289262299999,-122.719600315700006,.,245.7829742
242,1113,95565443,45.513763440100000,-122.719480496499997,.,249.9548035
243,1114,95565881,45.513738138100003,-122.719604695599998,.,250.8723450
244,1115,95566100,45.513805940200001,-122.719511943499995,.,250.1412506
245,1116,95569172,45.514506119300002,-122.718595234399999,.,257.6907349
246,1117,95569344,45.514756283700002,-122.718602326699994,.,249.1030884
247,1118,95575313,45.515028913899997,-122.718058484699995,.,240.0684814
248,1123,95656044,45.514795200400002,-122.718376815300005,.,246.9205780
249,1126,95780842,45.511557273599998,-122.717915726900003,.,225.2896271
250,1127,95781588,45.511627052999998,-122.718156622799995,.,226.5779877
251,1128,95783362,45.514055839999997,-122.719688169999998,.,258.0953369
